,vgg16,,,vgg16_fc,,,vgg11,,
,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,0.190,0.964,0.317,0.121,0.948,0.215,0.081,0.986,0.150
CE-invarse,0.713,0.661,0.686,0.496,0.762,0.601,0.498,0.620,0.552
LDAM-0.1,0.267,0.968,0.419,0.088,0.968,0.161,0.302,0.945,0.458
LDAM-0.3,0.139,0.987,0.244,0.124,0.956,0.220,0.095,0.960,0.173
LDAM-0.5,0.207,0.970,0.341,0.121,0.956,0.215,0.124,0.962,0.220
focal-1.0,,,,,,,,,
focal-2.0,,,,,,,,,
,,,,,,,,,
add,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,0.574,0.887,0.697,,,,0.522,0.868,0.652
CE-invarse,0.650,0.757,0.699,,,,0.677,0.796,0.732
LDAM-0.1,0.561,0.848,0.675,,,,0.328,0.926,0.484
LDAM-0.3,0.564,0.898,0.693,,,,0.514,0.898,0.654
LDAM-0.5,0.667,0.828,0.739,,,,0.545,0.868,0.670
focal-1.0,0.561,0.893,0.689,,,,0.283,0.928,0.434
focal-2.0,0.608,0.844,0.707,,,,0.644,0.795,0.712
